passenger_numbers,Date
112,1/1/1949
118,2/1/1949
132,3/1/1949
129,4/1/1949
121,5/1/1949
135,6/1/1949
148,7/1/1949
148,8/1/1949
136,9/1/1949
119,10/1/1949
104,11/1/1949
118,12/1/1949
115,1/1/1950
126,2/1/1950
141,3/1/1950
135,4/1/1950
125,5/1/1950
149,6/1/1950
170,7/1/1950
170,8/1/1950
158,9/1/1950
133,10/1/1950
114,11/1/1950
140,12/1/1950
145,1/1/1951
150,2/1/1951
178,3/1/1951
163,4/1/1951
172,5/1/1951
178,6/1/1951
199,7/1/1951
199,8/1/1951
184,9/1/1951
162,10/1/1951
146,11/1/1951
166,12/1/1951
171,1/1/1952
180,2/1/1952
193,3/1/1952
181,4/1/1952
183,5/1/1952
218,6/1/1952
230,7/1/1952
242,8/1/1952
209,9/1/1952
191,10/1/1952
172,11/1/1952
194,12/1/1952
